test_name,sample_time,rpm_l,rpm_r,v_l_mps,v_r_mps,distance
Test 4: 0.4m forward,0.308058500289917,11,-11,0.03686135380212024,-0.03686135380212024,0.0030833137673492075
Test 4: 0.4m forward,0.359163761138916,11,-11,0.03686135380212024,-0.03686135380212024,0.004967122868653804
Test 4: 0.4m forward,0.4102659225463867,19,-20,0.06366961111275314,-0.06702064327658225,0.008306400105747416
Test 4: 0.4m forward,0.4613678455352783,19,-20,0.06366961111275314,-0.06702064327658225,0.011645661763348652
Test 4: 0.4m forward,0.5124726295471191,27,-29,0.09047786842338605,-0.09717993275104428,0.016440767461926766
Test 4: 0.4m forward,0.5635817050933838,27,-29,0.09047786842338605,-0.09717993275104428,0.021236275830461702
Test 4: 0.4m forward,0.6146843433380127,35,-38,0.11728612573401896,-0.12733922222550628,0.027486776161582745
Test 4: 0.4m forward,0.6657867431640625,35,-38,0.11728612573401896,-0.12733922222550628,0.033737247331089855
Test 4: 0.4m forward,0.7168905735015869,43,-46,0.14409438304465186,-0.1541474795361392,0.041357898103527864
Test 4: 0.4m forward,0.7680027484893799,43,-46,0.14409438304465186,-0.1541474795361392,0.04897979323798521
Test 4: 0.4m forward,0.8191328048706055,50,-53,0.16755160819145565,-0.17760470468294298,0.05780372410678718
Test 4: 0.4m forward,0.8707027435302734,50,-53,0.16755160819145565,-0.17760470468294298,0.06670356904825213
Test 4: 0.4m forward,0.9218356609344482,56,-60,0.18765780117443032,-0.20106192982974677,0.07664175599765695
Test 4: 0.4m forward,0.9729688167572021,56,-60,0.18765780117443032,-0.20106192982974677,0.08657998928606474
Test 4: 0.4m forward,1.0257916450500488,56,-61,0.18765780117443032,-0.20441296199357586,0.09693513258679921
Test 4: 0.4m forward,1.0768887996673584,56,-61,0.18765780117443032,-0.20441296199357586,0.1069519827900603
Test 4: 0.4m forward,1.1280064582824707,53,-57,0.17760470468294298,-0.19100883333825944,0.11637331328879857
Test 4: 0.4m forward,1.1791341304779053,53,-57,0.17760470468294298,-0.19100883333825944,0.12579648935817228
